STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/1/2017,11.18,0,0,3.9,35,39,22,260,270,29.1,35.1,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/2/2017,8.05,0.01,0,1.2,26,34,19,80,80,14.1,18.1,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/3/2017,9.4,0.58,0,0,35,38,34,80,90,16.1,21.9,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/4/2017,19.01,0.04,0.1,0,36,40,20,260,250,36.9,49,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/5/2017,15.21,0.05,1.3,0,22,25,19,250,260,30,36,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/6/2017,11.41,0,0,1.2,18,20,7,250,250,23.9,28,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/7/2017,6.93,0,0,1.2,14,22,9,240,240,21.9,25.9,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/8/2017,10.96,0.1,2.4,1.2,15,18,7,290,300,23,30,1,,,,,,1,1
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/9/2017,6.49,0,0.2,3.1,13,22,7,160,160,16.1,21,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/10/2017,14.09,0.23,0.7,2,21,34,10,160,140,31.1,38,1,,,1,,1,1,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/11/2017,13.65,0,0,2,40,49,34,180,200,36.9,48.1,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/12/2017,14.32,0.27,0,0,49,54,35,330,170,25.1,35.1,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/13/2017,13.42,0,0.1,0,32,35,19,280,280,25.1,34,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/14/2017,3.8,0,0,0,20,26,13,70,60,8.9,11,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/15/2017,8.28,0,0,0,26,33,19,310,310,18.1,23.9,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/16/2017,4.25,0,0,0,28,41,17,250,250,12.1,14.1,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/17/2017,8.05,0.91,0,0,29,37,23,90,90,17,21.9,1,,,,,1,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/18/2017,5.82,0.16,0,0,36,38,34,250,290,12.1,15,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/19/2017,6.71,0,0,0,36,37,34,260,250,14.1,19,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/20/2017,7.16,0.01,0,0,37,43,34,120,120,16.1,19,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/21/2017,3.58,0,0,0,42,52,37,90,60,8.9,11,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/22/2017,5.59,0,0,0,42,51,32,80,90,16.1,21,1,1,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/23/2017,13.87,0.06,0,0,40,42,31,80,90,23.9,33.1,,,,,,1,,
